HOUSE DISTRICT 1 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 1 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 1 ,Registered Voters ,NP ,Total ,13392,NA
HOUSE DISTRICT 1 ,Times Counted ,NP ,Total ,5398,NA
HOUSE DISTRICT 1 ,"LeBon, Barton S. ",REP ,Total ,2660,NA
HOUSE DISTRICT 1 ,"Dodge, Kathryn E. ",DEM ,Total ,2655,NA
HOUSE DISTRICT 1 ,Write-in ,NP ,Total ,17,NA
HOUSE DISTRICT 2 ,Number of Precincts for Race ,NP ,Total ,4,NA
HOUSE DISTRICT 2 ,Number of Precincts Reporting ,NP ,Total ,4,NA
HOUSE DISTRICT 2 ,Registered Voters ,NP ,Total ,11380,NA
HOUSE DISTRICT 2 ,Times Counted ,NP ,Total ,3592,NA
HOUSE DISTRICT 2 ,"Thompson, Steve ",REP ,Total ,2340,NA
HOUSE DISTRICT 2 ,"Lawrence, Van ",DEM ,Total ,1182,NA
HOUSE DISTRICT 2 ,Write-in ,NP ,Total ,12,NA
HOUSE DISTRICT 3 ,Number of Precincts for Race ,NP ,Total ,5,NA
HOUSE DISTRICT 3 ,Number of Precincts Reporting ,NP ,Total ,5,NA
HOUSE DISTRICT 3 ,Registered Voters ,NP ,Total ,14159,NA
HOUSE DISTRICT 3 ,Times Counted ,NP ,Total ,5918,NA
HOUSE DISTRICT 3 ,"Wilson, Tammie ",REP ,Total ,4848,NA
HOUSE DISTRICT 3 ,Write-in ,NP ,Total ,413,NA
HOUSE DISTRICT 4 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 4 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 4 ,Registered Voters ,NP ,Total ,14783,NA
HOUSE DISTRICT 4 ,Times Counted ,NP ,Total ,8508,NA
HOUSE DISTRICT 4 ,"Sackett, Jim ",REP ,Total ,3650,NA
HOUSE DISTRICT 4 ,"Lamkin, Tim ",NA ,Total ,395,NA
HOUSE DISTRICT 4 ,"Hopkins, Grier ",DEM ,Total ,4355,NA
HOUSE DISTRICT 4 ,Write-in ,NP ,Total ,18,NA
HOUSE DISTRICT 5 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 5 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 5 ,Registered Voters ,NP ,Total ,13644,NA
HOUSE DISTRICT 5 ,Times Counted ,NP ,Total ,6698,NA
HOUSE DISTRICT 5 ,"Wool, Adam L. ",DEM ,Total ,3483,NA
HOUSE DISTRICT 5 ,"McKinley, Kevin ",REP ,Total ,3057,NA
HOUSE DISTRICT 5 ,Write-in ,NP ,Total ,30,NA
HOUSE DISTRICT 6 ,Number of Precincts for Race ,NP ,Total ,33,NA
HOUSE DISTRICT 6 ,Number of Precincts Reporting ,NP ,Total ,33,NA
HOUSE DISTRICT 6 ,Registered Voters ,NP ,Total ,14896,NA
HOUSE DISTRICT 6 ,Times Counted ,NP ,Total ,6878,NA
HOUSE DISTRICT 6 ,"Alexander, Ed ",DEM ,Total ,2720,NA
HOUSE DISTRICT 6 ,"Talerico, David M. ",REP ,Total ,3995,NA
HOUSE DISTRICT 6 ,Write-in ,NP ,Total ,25,NA
HOUSE DISTRICT 7 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 7 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 7 ,Registered Voters ,NP ,Total ,15432,NA
HOUSE DISTRICT 7 ,Times Counted ,NP ,Total ,6948,NA
HOUSE DISTRICT 7 ,"Sullivan-Leonard, Co ",REP ,Total ,5698,NA
HOUSE DISTRICT 7 ,Write-in ,NP ,Total ,285,NA
HOUSE DISTRICT 8 ,Number of Precincts for Race ,NP ,Total ,6,NA
HOUSE DISTRICT 8 ,Number of Precincts Reporting ,NP ,Total ,6,NA
HOUSE DISTRICT 8 ,Registered Voters ,NP ,Total ,15678,NA
HOUSE DISTRICT 8 ,Times Counted ,NP ,Total ,7216,NA
HOUSE DISTRICT 8 ,"Neuman, Mark ",REP ,Total ,5123,NA
HOUSE DISTRICT 8 ,"Chesbro, James L. ",DEM ,Total ,1183,NA
HOUSE DISTRICT 8 ,"Fish, Mark ",LIB ,Total ,766,NA
HOUSE DISTRICT 8 ,Write-in ,NP ,Total ,14,NA
HOUSE DISTRICT 9  ,Number of Precincts for Race ,NP ,Total ,11,NA
HOUSE DISTRICT 9  ,Number of Precincts Reporting ,NP ,Total ,11,NA
HOUSE DISTRICT 9  ,Registered Voters ,NP ,Total ,15635,NA
HOUSE DISTRICT 9  ,Times Counted ,NP ,Total ,7920,NA
HOUSE DISTRICT 9  ,"Squyres, James A. ",NA ,Total ,515,NA
HOUSE DISTRICT 9  ,"Johnson, Bill ",DEM ,Total ,1961,NA
HOUSE DISTRICT 9  ,"Rauscher, George ",REP ,Total ,5207,NA
HOUSE DISTRICT 9  ,Write-in ,NP ,Total ,32,NA
HOUSE DISTRICT 10 ,Number of Precincts for Race ,NP ,Total ,11,NA
HOUSE DISTRICT 10 ,Number of Precincts Reporting ,NP ,Total ,11,NA
HOUSE DISTRICT 10 ,Registered Voters ,NP ,Total ,16141,NA
HOUSE DISTRICT 10 ,Times Counted ,NP ,Total ,8033,NA
HOUSE DISTRICT 10 ,"Eastman, David ",REP ,Total ,4518,NA
HOUSE DISTRICT 10 ,"Holmes, Doyle E. ",NA ,Total ,1616,NA
HOUSE DISTRICT 10 ,"Faye-Brazel, Patrici ",DEM ,Total ,1729,NA
HOUSE DISTRICT 10 ,Write-in ,NP ,Total ,16,NA
HOUSE DISTRICT 11 ,Number of Precincts for Race ,NP ,Total ,9,NA
HOUSE DISTRICT 11 ,Number of Precincts Reporting ,NP ,Total ,9,NA
HOUSE DISTRICT 11 ,Registered Voters ,NP ,Total ,15859,NA
HOUSE DISTRICT 11 ,Times Counted ,NP ,Total ,8129,NA
HOUSE DISTRICT 11 ,"Patterson, Eileen E. ",DEM ,Total ,2212,NA
HOUSE DISTRICT 11 ,"Johnson, DeLena M.  ",REP ,Total ,5734,NA
HOUSE DISTRICT 11 ,Write-in ,NP ,Total ,42,NA
HOUSE DISTRICT 12 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 12 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 12 ,Registered Voters ,NP ,Total ,15488,NA
HOUSE DISTRICT 12 ,Times Counted ,NP ,Total ,8283,NA
HOUSE DISTRICT 12 ,"Tilton, Cathy L. ",REP ,Total ,6094,NA
HOUSE DISTRICT 12 ,"Jeffers, Stephany ",DEM ,Total ,1992,NA
HOUSE DISTRICT 12 ,Write-in ,NP ,Total ,25,NA
HOUSE DISTRICT 13 ,Number of Precincts for Race ,NP ,Total ,6,NA
HOUSE DISTRICT 13 ,Number of Precincts Reporting ,NP ,Total ,6,NA
HOUSE DISTRICT 13 ,Registered Voters ,NP ,Total ,12804,NA
HOUSE DISTRICT 13 ,Times Counted ,NP ,Total ,4782,NA
HOUSE DISTRICT 13 ,"Kimp, Danyelle D. ",DEM ,Total ,1340,NA
HOUSE DISTRICT 13 ,"Dahlstrom, Nancy A. ",REP ,Total ,3320,NA
HOUSE DISTRICT 13 ,Write-in ,NP ,Total ,16,NA
HOUSE DISTRICT 14 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 14 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 14 ,Registered Voters ,NP ,Total ,16349,NA
HOUSE DISTRICT 14 ,Times Counted ,NP ,Total ,8515,NA
HOUSE DISTRICT 14 ,"Merrick, Kelly R. ",REP ,Total ,5480,NA
HOUSE DISTRICT 14 ,"Hackenmueller, Joe ",DEM ,Total ,2811,NA
HOUSE DISTRICT 14 ,Write-in ,NP ,Total ,66,NA
HOUSE DISTRICT 15  ,Number of Precincts for Race ,NP ,Total ,5,NA
HOUSE DISTRICT 15  ,Number of Precincts Reporting ,NP ,Total ,5,NA
HOUSE DISTRICT 15  ,Registered Voters ,NP ,Total ,11902,NA
HOUSE DISTRICT 15  ,Times Counted ,NP ,Total ,3403,NA
HOUSE DISTRICT 15  ,"LeDoux, Gabrielle ",REP ,Total ,1379,NA
HOUSE DISTRICT 15  ,"Franks, Lyn D. ",DEM ,Total ,1139,NA
HOUSE DISTRICT 15  ,Write-in ,NP ,Total ,795,NA
HOUSE DISTRICT 16  ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 16  ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 16  ,Registered Voters ,NP ,Total ,14470,NA
HOUSE DISTRICT 16  ,Times Counted ,NP ,Total ,5916,NA
HOUSE DISTRICT 16  ,"Wright, Stanley A. ",REP ,Total ,2577,NA
HOUSE DISTRICT 16  ,"Spohnholz, Ivy A. ",DEM ,Total ,3211,NA
HOUSE DISTRICT 16  ,Write-in ,NP ,Total ,28,NA
HOUSE DISTRICT 17 ,Number of Precincts for Race ,NP ,Total ,7,NA
HOUSE DISTRICT 17 ,Number of Precincts Reporting ,NP ,Total ,7,NA
HOUSE DISTRICT 17 ,Registered Voters ,NP ,Total ,12988,NA
HOUSE DISTRICT 17 ,Times Counted ,NP ,Total ,5450,NA
HOUSE DISTRICT 17 ,"Sanders, Marcus ",REP ,Total ,2147,NA
