Senate,County,REP,DEM,WRI,NPA,REF,TOTAL,
Senate,Wakulla,"9,322","4,868",0,,,"14,190",
Senate,Walton,"22,776","7,485",4,,,"30,265",
Senate,Washington,"7,101","1,959",0,,,"9,060",
Senate,Total:,"4,099,505","4,089,472",1028,,,"8,190,005",
FL-01,Escambia,"73,752","54,734",,,,,
FL-01,Holmes,"3,828",494,,,,,
FL-01,Okaloosa,"60,222","23,694",,,,,
FL-01,Santa Rosa,"55,526","19,948",,,,,
FL-01,Walton,"22,861","7,329",,,,,
FL-01,Total:,"216,189","106,199",,,,,
FL-02,Bay,"47,366","15,834",,,,,
FL-02,Calhoun,"3,666",925,,,,,
FL-02,Columbia,"16,269","5,274",,,,,
FL-02,Dixie,"4,750",989,,,,,
FL-02,Franklin,"3,589","1,805",,,,,
FL-02,Gilchrist,"5,991","1,324",,,,,
FL-02,Gulf,"4,411","1,458",,,,,
FL-02,Holmes,"2,135",293,,,,,
FL-02,Jackson,"10,935","4,891",,,,,
FL-02,Jefferson,432,235,,,,,
FL-02,Lafayette,"2,328",458,,,,,
FL-02,Leon,"31,401","36,554",,,,,
FL-02,Levy,"12,168","4,715",,,,,
FL-02,Liberty,"2,077",580,,,,,
FL-02,Marion,"16,712","9,183",,,,,
FL-02,Suwannee,"12,376","3,472",,,,,
FL-02,Taylor,"5,879","1,982",,,,,
FL-02,Wakulla,"9,623","4,469",,,,,
FL-02,Washington,"7,227","1,792",,,,,
FL-02,Total:,"199,335","96,233",,,,,
FL-03,Alachua,"43,579","70,937",,,,,
FL-03,Bradford,"7,983","2,460",,,,,
FL-03,Clay,"66,733","26,019",,,,,
FL-03,Marion,"34,867","21,071",,,,,
FL-03,Putnam,"19,490","8,494",,,,,
FL-03,Union,"3,964",899,,,,,
FL-03,Total:,"176,616","129,880",,,,,
FL-04,Duval,"141,476","79,205",2,"5,979",,,
FL-04,Nassau,"32,571","9,895",0,779,,,
FL-04,St. Johns,"74,373","34,251",0,"2,718",,,
FL-04,Total:,"248,420","123,351",2,"9,476",,,
FL-05,Baker,"8,448","1,966",,,,,
FL-05,Columbia,"1,291","1,664",,,,,
FL-05,Duval,"47,548","100,459",,,,,
FL-05,Gadsden,"5,356","14,612",,,,,
FL-05,Hamilton,"2,746","1,756",,,,,
FL-05,Jefferson,"3,136","3,484",,,,,
FL-05,Leon,"17,173","53,130",,,,,
FL-05,Madison,"4,101","3,456",,,,,
FL-05,Total:,"89,799","180,527",,,,,
FL-06,Flagler,"30,583","21,635",,,,,
FL-06,Lake,"23,484","13,737",,,,,
FL-06,St. Johns,"11,235","6,607",,,,,
FL-06,Volusia,"122,589","103,779",,,,,
FL-06,Total:,"187,891","145,758",,,,,
FL-07,Orange,"42,862","76,770",,,,,
FL-07,Seminole,"91,423","106,343",,,,,
FL-07,Total:,"134,285","183,113",,,,,
FL-08,Brevard,"167,649","112,989",,,,,
FL-08,Indian River,"46,744","27,005",,,,,
FL-08,Orange,"3,719","2,421",,,,,
FL-08,Total:,"218,112","142,415",,,,,
FL-09,Orange,"25,355","46,401",,,,,
FL-09,Osceola,"41,829","71,924",,,,,
FL-09,Polk,"57,381","53,847",,,,,
FL-09,Total:,"124,565","172,172",,,,,
FL-11,Citrus,"47,839","22,380",10,,,,
FL-11,Hernando,"49,362","30,385",14,,,,
FL-11,Lake,"46,701","25,885",9,,,,
FL-11,Marion,"43,862","27,198",17,,,,
FL-11,Sumter,"51,631","22,205",8,,,,
FL-11,Total:,"239,395","128,053",58,,,,
FL-12,Hillsborough,"4,159","2,425",,116,,,
FL-12,Pasco,"124,959","80,624",,"5,206",,,
FL-12,Pinellas,"65,446","49,795",,"2,188",,,
FL-12,Total:,"194,564","132,844",,"7,510",,,
FL-13,Pinellas,"134,254","182,717",,,,,
FL-13,Total:,"134,254","182,717",,,,,
FL-15,Hillsborough,"71,775","70,108",4,,,,
FL-15,Lake,"22,764","21,227",4,,,,
FL-15,Polk,"56,841","42,797",12,,,,
FL-15,Total:,"151,380","134,132",20,,,,
FL-16,Hillsborough,"44,798","40,610",,,,,
FL-16,Manatee,"95,137","67,653",,,,,
FL-16,Sarasota,"57,548","56,200",,,,,
FL-16,Total:,"197,483","164,463",,,,,
FL-17,Charlotte,"53,387","32,617",,,,,
FL-17,Desoto,"5,557","3,253",,,,,
FL-17,Glades,"2,598","1,184",,,,,
FL-17,Hardee,"4,428","1,903",,,,,
FL-17,Highlands,"25,913","13,299",,,,,
FL-17,Lee,"19,500","11,735",,,,,
FL-17,Okeechobee,"7,665","3,415",,,,,
FL-17,Polk,"17,261","11,209",,,,,
FL-17,Sarasota,"57,017","38,579",,,,,
FL-17,Total:,"193,326","117,194",,,,,
FL-18,Martin,"50,235","27,694",,,,,
FL-18,Palm Beach,"74,025","66,479",,,,,
FL-18,St. Lucie,"61,645","62,281",,,,,
FL-18,Total:,"185,905","156,454",,,,,
FL-19,Collier,"56,431","27,944",1,,,,
FL-19,Lee,"155,034","100,162",35,,,,
FL-19,Total:,"211,465","128,106",36,,,,
FL-20,Broward,,"147,258",0,,,,
FL-20,Palm Beach,,"55,401",165,,,,
FL-20,Total:,,"202,659",165,,,,
FL-22,Broward,"85,579","148,675",,,,,
FL-22,Palm Beach,"27,470","35,959",,,,,
FL-22,Total:,"113,049","184,634",,,,,
FL-23,Broward,"89,286","148,833",,"14,366",,,
FL-23,Miami-Dade,"10,160","12,778",,943,,,
FL-23,Total:,"99,446","161,611",,"15,309",,,
FL-25,Collier,"42,775","27,393",,,,,
FL-25,Hendry,"5,051","3,557",,,,,
FL-25,Miami-Dade,"80,846","53,223",,,,,
FL-25,Total:,"128,672","84,173",,,,,
FL-26,Miami-Dade,"96,371","103,126",,,,,
FL-26,Monroe,"19,307","16,671",,,,,
FL-26,Total:,"115,678","119,797",,,,,
FL-27,Miami-Dade,"115,588","130,743",,"6,255",538,,
FL-27,Total:,"115,588","130,743",,"6,255",43,,
Governor,Alachua,"41,278","72,711",2,665,371,,
Governor,Baker,"8,687","1,760",0,52,54,,
Governor,Bay,"45,709","16,757",0,494,"2,127",,
Governor,Bradford,"7,698","2,671",0,82,"2,167",,
Governor,Brevard,"162,213","114,921",2,2325,52,,
Governor,Broward,"222,012","482,152",0,2848,736,,
Governor,Calhoun,"3,576",923,0,58,"1,249",,
Governor,Charlotte,"54,102","31,248",1,809,451,,
Governor,Citrus,"47,729","21,197",0,723,780,,
Governor,Clay,"64,401","28,150",0,480,139,,
Governor,Collier,"100,303","53,594",0,776,78,,
Governor,Columbia,"17,426","7,105",0,173,65,,
Governor,Desoto,"5,663","3,059",0,102,"1,580",,
Governor,Dixie,"4,663","1,008",0,65,868,,
Governor,Duval,"179,902","196,612",1,1853,319,,
Governor,Escambia,"74,719","52,835",1,944,36,,
Governor,Flagler,"30,951","21,183",0,363,65,,
Governor,Franklin,"3,508","1,790",0,86,47,,
Governor,Gadsden,"6,200","13,712",2,79,29,,
Governor,Gilchrist,"5,975","1,282",0,62,48,,
Governor,Glades,"2,647","1,095",0,59,21,,
Governor,Gulf,"4,265","1,511",0,72,37,,
Governor,Hamilton,"2,908","1,591",0,32,76,,
Governor,Hardee,"4,486","1,802",0,73,730,,
Governor,Hendry,"5,177","3,516",0,104,273,,
Governor,Hernando,"49,671","29,426",0,787,"2,996",,
Governor,Highlands,"26,285","12,783",0,416,27,,
Governor,Hillsborough,"234,835","281,598",2,3432,385,,
Governor,Holmes,"5,940",737,0,69,72,,
Governor,Indian River,"44,925","28,460",0,482,65,,
Governor,Jackson,"10,771","5,019",0,115,14,,
Governor,Jefferson,"3,877","3,375",0,42,"1,026",,
Governor,Lafayette,"2,364",419,0,28,"2,048",,
Governor,Lake,"92,633","60,289",3,1187,724,,
Governor,Lee,"174,085","111,172",2,2270,148,,
Governor,Leon,"49,942","88,764",9,595,36,,
Governor,Levy,"12,084","4,718",0,139,20,,
Governor,Liberty,"2,060",527,0,59,"1,131",,
Governor,Madison,"4,345","3,235",0,25,"1,316",,
Governor,Manatee,"93,246","67,629",4,1339,351,,
Governor,Marion,"94,901","57,392",4,1248,"3,684",,
Governor,Martin,"47,820","29,133",0,419,190,,
Governor,Miami-Dade,"311,581","478,958",2,4799,190,,
Governor,Monroe,"18,509","17,176",3,255,772,,
Governor,Nassau,"31,704","11,472",0,200,86,,
Governor,Okaloosa,"59,940","22,408",1,761,"2,447",,
Governor,Okeechobee,"7,730","3,306",0,117,761,,
Governor,Orange,"174,228","296,257",0,2787,"2,048",,
Governor,Osceola,"44,627","68,707",0,926,"1,852",,
Governor,Palm Beach,"241,016","341,409",4,2247,"3,293",,
Governor,Pasco,"120,753","86,384",1,1951,"1,611",,
Governor,Pinellas,"207,677","220,818",7,3499,155,,
Governor,Polk,"136,711","104,057",2,2032,556,,
Governor,Putnam,"18,721","9,011",0,237,"1,286",,
Governor,Santa Rosa,"56,148","18,207",1,655,"1,196",,
Governor,Sarasota,"113,211","94,986",4,1461,532,,
Governor,Seminole,"96,622","100,197",6,1195,580,,
Governor,St. Johns,"83,658","46,206",1,600,391,,
Governor,St. Lucie,"58,990","63,605",2,861,106,,
Governor,Sumter,"51,798","21,843",0,364,51,,
Governor,Suwannee,"12,234","3,450",0,116,26,,
Governor,Taylor,"5,942","1,877",0,71,"1,619",,
Governor,Union,"3,841",972,0,29,107,,
Governor,Volusia,"124,819","100,478",0,1844,193,,
Governor,Wakulla,"9,802","4,194",0,117,70,,
Governor,Walton,"22,925","7,019",0,194,"47,140",,
Governor,Washington,"7,017","1,865",0,96,65,,
Governor,Total:,"4,076,186","4,043,723",67,53445,47,,
Governor,Glades,"2,647","1,095",0,59,29,,
Governor,Gulf,"4,265","1,511",0,72,48,,
Governor,Hamilton,"2,908","1,591",0,32,21,,
Governor,Hardee,"4,486","1,802",0,73,37,,
Governor,Hendry,"5,177","3,516",0,104,76,,
Governor,Hernando,"49,671","29,426",0,787,730,,
Governor,Highlands,"26,285","12,783",0,416,273,,
Governor,Hillsborough,"234,835","281,598",2,3432,"2,996",,
Governor,Holmes,"5,940",737,0,69,27,,
Governor,Indian River,"44,925","28,460",0,482,385,,
Governor,Jackson,"10,771","5,019",0,115,72,,
Governor,Jefferson,"3,877","3,375",0,42,65,,
Governor,Lafayette,"2,364",419,0,28,14,,
Governor,Lake,"92,633","60,289",3,1187,"1,026",,
Governor,Lee,"174,085","111,172",2,2270,"2,048",,
Governor,Leon,"49,942","88,764",9,595,724,,
Governor,Levy,"12,084","4,718",0,139,148,,
Governor,Liberty,"2,060",527,0,59,36,,
Governor,Madison,"4,345","3,235",0,25,20,,
Governor,Manatee,"93,246","67,629",4,1339,"1,131",,
Governor,Marion,"94,901","57,392",4,1248,"1,316",,
Governor,Martin,"47,820","29,133",0,419,351,,
Governor,Miami-Dade,"311,581","478,958",2,4799,"3,684",,
Governor,Monroe,"18,509","17,176",3,255,190,,
Governor,Nassau,"31,704","11,472",0,200,190,,
Governor,Okaloosa,"59,940","22,408",1,761,772,,
Governor,Okeechobee,"7,730","3,306",0,117,86,,
Governor,Orange,"174,228","296,257",0,2787,"2,447",,
Governor,Osceola,"44,627","68,707",0,926,761,,
Governor,Palm Beach,"241,016","341,409",4,2247,"2,048",,
Governor,Pasco,"120,753","86,384",1,1951,"1,852",,
Governor,Pinellas,"207,677","220,818",7,3499,"3,293",,
Governor,Polk,"136,711","104,057",2,2032,"1,611",,
Governor,Putnam,"18,721","9,011",0,237,155,,
Governor,Santa Rosa,"56,148","18,207",1,655,556,,
Governor,Sarasota,"113,211","94,986",4,1461,"1,286",,
Governor,Seminole,"96,622","100,197",6,1195,"1,196",,
Governor,St. Johns,"83,658","46,206",1,600,532,,
Governor,St. Lucie,"58,990","63,605",2,861,580,,
Governor,Sumter,"51,798","21,843",0,364,391,,
Governor,Suwannee,"12,234","3,450",0,116,106,,
Governor,Taylor,"5,942","1,877",0,71,51,,
Governor,Union,"3,841",972,0,29,26,,
Governor,Volusia,"124,819","100,478",0,1844,"1,619",,
Governor,Wakulla,"9,802","4,194",0,117,107,,
Governor,Walton,"22,925","7,019",0,194,193,,
Governor,Washington,"7,017","1,865",0,96,70,,
Governor,Total:,"4,076,186","4,043,723",153,53445,"47,140",,
