Senate,County,REP,DEM,WRI,NPA,REF,TOTAL
FL-05,Total:,"89,799","180,527",,,,"270,326"
FL-06,Flagler,"30,583","21,635",,,,"52,218"
FL-06,Lake,"23,484","13,737",,,,"37,221"
FL-06,St. Johns,"11,235","6,607",,,,"17,842"
FL-06,Volusia,"122,589","103,779",,,,"226,368"
FL-06,Total:,"187,891","145,758",,,,"333,649"
FL-07,Orange,"42,862","76,770",,,,"119,632"
FL-07,Seminole,"91,423","106,343",,,,"197,766"
FL-07,Total:,"134,285","183,113",,,,"317,398"
FL-08,Brevard,"167,649","112,989",,,,"280,638"
FL-08,Indian River,"46,744","27,005",,,,"73,749"
FL-08,Orange,"3,719","2,421",,,,"6,140"
FL-08,Total:,"218,112","142,415",,,,"360,527"
FL-09,Orange,"25,355","46,401",,,,"71,756"
FL-09,Osceola,"41,829","71,924",,,,"113,753"
FL-09,Polk,"57,381","53,847",,,,"111,228"
FL-09,Total:,"124,565","172,172",,,,"296,737"
FL-11,Citrus,"47,839","22,380",10,,,"70,229"
FL-11,Hernando,"49,362","30,385",14,,,"79,761"
FL-11,Lake,"46,701","25,885",9,,,"72,595"
FL-11,Marion,"43,862","27,198",17,,,"71,077"
FL-11,Sumter,"51,631","22,205",8,,,"73,844"
FL-11,Total:,"239,395","128,053",58,,,"367,506"
FL-12,Hillsborough,"4,159","2,425",,116,,"6,700"
FL-12,Pasco,"124,959","80,624",,"5,206",,"210,789"
FL-12,Pinellas,"65,446","49,795",,"2,188",,"117,429"
FL-12,Total:,"194,564","132,844",,"7,510",,"334,918"
FL-13,Pinellas,"134,254","182,717",,,,"316,971"
FL-13,Total:,"134,254","182,717",,,,"316,971"
FL-15,Hillsborough,"71,775","70,108",4,,,"141,887"
FL-15,Lake,"22,764","21,227",4,,,"43,995"
FL-15,Polk,"56,841","42,797",12,,,"99,650"
FL-15,Total:,"151,380","134,132",20,,,"285,532"
FL-16,Hillsborough,"44,798","40,610",,,,"85,408"
FL-16,Manatee,"95,137","67,653",,,,"162,790"
FL-16,Sarasota,"57,548","56,200",,,,"113,748"
FL-16,Total:,"197,483","164,463",,,,"361,946"
FL-17,Charlotte,"53,387","32,617",,,,"86,004"
FL-17,Desoto,"5,557","3,253",,,,"8,810"
FL-17,Glades,"2,598","1,184",,,,"3,782"
FL-17,Hardee,"4,428","1,903",,,,"6,331"
FL-17,Highlands,"25,913","13,299",,,,"39,212"
FL-17,Lee,"19,500","11,735",,,,"31,235"
FL-17,Okeechobee,"7,665","3,415",,,,"11,080"
FL-17,Polk,"17,261","11,209",,,,"28,470"
FL-17,Sarasota,"57,017","38,579",,,,"95,596"
FL-17,Total:,"193,326","117,194",,,,"310,520"
FL-18,Martin,"50,235","27,694",,,,"77,929"
FL-18,Palm Beach,"74,025","66,479",,,,"140,504"
FL-18,St. Lucie,"61,645","62,281",,,,"123,926"
FL-18,Total:,"185,905","156,454",,,,"342,359"
FL-19,Collier,"56,431","27,944",1,,,"84,376"
FL-19,Lee,"155,034","100,162",35,,,"255,231"
FL-19,Total:,"211,465","128,106",36,,,"339,607"
FL-20,Broward,,"147,258",0,,,"147,258"
FL-20,Palm Beach,,"55,401",165,,,"55,566"
FL-20,Total:,,"202,659",165,,,"202,824"
FL-22,Broward,"85,579","148,675",,,,"234,254"
FL-22,Palm Beach,"27,470","35,959",,,,"63,429"
FL-22,Total:,"113,049","184,634",,,,"297,683"
FL-23,Broward,"89,286","148,833",,"14,366",,"252,485"
FL-23,Miami-Dade,"10,160","12,778",,943,,"23,881"
FL-23,Total:,"99,446","161,611",,"15,309",,"276,366"
FL-25,Collier,"42,775","27,393",,,,"70,168"
FL-25,Hendry,"5,051","3,557",,,,"8,608"
FL-25,Miami-Dade,"80,846","53,223",,,,"134,069"
FL-25,Total:,"128,672","84,173",,,,"212,845"
FL-26,Miami-Dade,"96,371","103,126",,,,"199,497"
FL-26,Monroe,"19,307","16,671",,,,"35,978"
FL-26,Total:,"115,678","119,797",,,,"235,475"
FL-27,Miami-Dade,"115,588","130,743",,"6,255",538,"253,124"
FL-27,Total:,"115,588","130,743",,"6,255",43,"252,629"
Governor,Alachua,"41,278","72,711",2,665,371,"115,027"
Governor,Baker,"8,687","1,760",0,52,54,"10,553"
Governor,Bay,"45,709","16,757",0,494,"2,127","65,087"
Governor,Bradford,"7,698","2,671",0,82,"2,167","12,618"
Governor,Brevard,"162,213","114,921",2,2325,52,"279,513"
Governor,Broward,"222,012","482,152",0,2848,736,"707,748"
Governor,Calhoun,"3,576",923,0,58,"1,249","5,806"
Governor,Charlotte,"54,102","31,248",1,809,451,"86,611"
Governor,Citrus,"47,729","21,197",0,723,780,"70,429"
Governor,Clay,"64,401","28,150",0,480,139,"93,170"
Governor,Collier,"100,303","53,594",0,776,78,"154,751"
Governor,Columbia,"17,426","7,105",0,173,65,"24,769"
Governor,Desoto,"5,663","3,059",0,102,"1,580","10,404"
Governor,Dixie,"4,663","1,008",0,65,868,"6,604"
Governor,Duval,"179,902","196,612",1,1853,319,"378,687"
Governor,Escambia,"74,719","52,835",1,944,36,"128,535"
Governor,Flagler,"30,951","21,183",0,363,65,"52,562"
Governor,Franklin,"3,508","1,790",0,86,47,"5,431"
Governor,Gadsden,"6,200","13,712",2,79,29,"20,022"
