Election Code,Election Title,County Code,County Name,Contest Code,Contest Title,Candidate Number,Candidate Name,Votes,Party Code
1001030,GENERAL ELECTION 2018,8,Blount,1000960,AL-06,2,Gary Palmer,16109,REP
1001030,GENERAL ELECTION 2018,8,Blount,1000960,AL-06,3,Write-In,12,NON
1001030,GENERAL ELECTION 2018,8,Blount,1001000,GOVERNOR,1,Walt Maddox,2476,DEM
1001030,GENERAL ELECTION 2018,8,Blount,1001000,GOVERNOR,2,Kay Ivey,16975,REP
1001030,GENERAL ELECTION 2018,8,Blount,1001000,GOVERNOR,3,Write-In,40,NON
1001030,GENERAL ELECTION 2018,9,Bullock,1000920,AL-02,1,Tabitha Isner,2829,DEM
1001030,GENERAL ELECTION 2018,9,Bullock,1000920,AL-02,2,Martha Roby,849,REP
1001030,GENERAL ELECTION 2018,9,Bullock,1000920,AL-02,3,Write-In,2,NON
1001030,GENERAL ELECTION 2018,9,Bullock,1001000,GOVERNOR,1,Walt Maddox,2729,DEM
1001030,GENERAL ELECTION 2018,9,Bullock,1001000,GOVERNOR,2,Kay Ivey,947,REP
1001030,GENERAL ELECTION 2018,9,Bullock,1001000,GOVERNOR,3,Write-In,4,NON
1001030,GENERAL ELECTION 2018,10,Butler,1000920,AL-02,1,Tabitha Isner,3677,DEM
1001030,GENERAL ELECTION 2018,10,Butler,1000920,AL-02,2,Martha Roby,4395,REP
1001030,GENERAL ELECTION 2018,10,Butler,1000920,AL-02,3,Write-In,5,NON
1001030,GENERAL ELECTION 2018,10,Butler,1001000,GOVERNOR,1,Walt Maddox,3348,DEM
1001030,GENERAL ELECTION 2018,10,Butler,1001000,GOVERNOR,2,Kay Ivey,4790,REP
1001030,GENERAL ELECTION 2018,10,Butler,1001000,GOVERNOR,3,Write-In,3,NON
1001030,GENERAL ELECTION 2018,11,Calhoun,1000930,AL-03,1,Mallory Hagan,12143,DEM
1001030,GENERAL ELECTION 2018,11,Calhoun,1000930,AL-03,2,Mike Rogers,24632,REP
